2000 SOC code,2000 SOC title,2010 SOC code,2010 SOC title
13_1078,"Human Resources, Training, and Labor Relations Specialists, All Other*",13_1071,Human Resources Specialists
15_1150,Computer Support Specialists,15_1151,Computer User Support Specialists
15_1179,"Information Security Analysts, Web Developers, and Computer Network Architects",15_1122,Information Security Analysts
15_1799,"Computer Occupations, All Other*",15_1199,"Computer Occupations, All Other"
21_1798,"Community and Social Service Specialists, All Other*",21_1099,"Community and social service specialists, all other"
25_3999,"Teachers and Instructors, All Other*",25_3099,"Teachers and Instructors, All Other, Except Substitute Teachers"
29_2037,Radiologic Technologists and Technicians*,29_2034,Radiologic technologists and technicians
29_2799,"Health Technologists and Technicians, All Other*",29_2099,"Health technologists and technicians, all other"
29_9799,"Healthcare Practitioners and Technical Workers, All Other*",29_9099,"Healthcare practitioners and technical workers, all other"
31_9799,"Healthcare Support Workers, All Other*",31_9099,"Healthcare support workers, all other"
39_4831,"Funeral Service Managers, Directors, Morticians, and Undertakers",39_4031,"Morticians, Undertakers, and Funeral Directors"
41_9799,"Sales and Related Workers, All Other*",41_9099,"Sales and related workers, all other"
43_9799,"Office and Administrative Support Workers, All Other*",43_9199,"Office and administrative support workers, all other"
47_4799,"Construction and Related Workers, All Other*",47_4099,"Construction and related workers, all other"
49_9799,"Installation, Maintenance, and Repair Workers, All Other*",49_9099,"Installation, maintenance, and repair workers, all other"
51_9399,"Production Workers, All Other*",51_9199,"Production workers, all other"
29_1111,Registered Nurses*,29_1141,Registered Nurses
31_1012,"Nursing Aides, Orderlies, and Attendants*",31_1014,Nursing Assistants
15_1179,"Information Security Analysts, Web Developers, and Computer Network Architects",15_1143,Computer Network Architects
25_2041,"Special Education Teachers, Preschool, Kindergarten and Elementary School",25_2052,"Special Education Teachers, Kindergarten and Elementary School"
